LiClO4浓度 mol/L,离子电导率 mS/cm
0.10285,3.34475
0.20321,5.38607
0.29311,6.54697
0.38854,7.69079
0.58618,8.91265
0.78198,9.27604
0.98824,9.27604
1.23268,9.04191
1.48389,8.07369
1.73387,7.14936
1.98323,5.4007
