LiPF6浓度 mol/kg,离子电导率 mS/cm
1.61533,6.89046
1.41531,7.48857
1.26383,7.79196
1.11074,7.99133
0.91606,8.07801
0.76084,7.73995
0.6147,7.37589
0.44615,6.41371
