LiPF6浓度 mol/kg,离子电导率 mS/cm
0.43199,7.01523
0.6069,7.99355
0.75668,8.41283
0.88933,8.48271
1.07816,8.22315
1.21777,8.0235
1.33491,7.66411
1.57402,6.8555
