LiPF6浓度 mol/kg,离子电导率 mS/cm
0.10893,3.03961
0.21277,5.04417
0.50986,9.30567
1.00983,11.06506
1.50692,10.50984
2.01266,9.41383
2.50878,5.7364
3.00299,4.43848
3.50296,1.98686
3.9962,1.5398
