LiPF6浓度 mol/kg,离子电导率 mS/cm
0.44241,7.48857
0.6163,8.61545
0.76298,9.06619
0.91606,9.6643
1.11288,9.60362
1.26596,9.49094
1.41744,9.10087
1.61213,8.58944
