LiPF6浓度 mol/kg,离子电导率 mS/cm
0.57487,7.74051
0.76445,8.4535
1.00301,8.53906
1.24856,8.32992
1.41651,7.93064
1.63599,7.29371
1.87455,6.47615
2.16082,5.42092
