LiPF6浓度 mol/kg,离子电导率 mS/cm
0.43199,8.15327
0.60476,9.3612
0.75882,9.95019
0.89308,10.17979
1.07976,10.07996
1.21402,9.91026
1.33491,9.56086
1.57402,8.74226
