r,count_on_policy,count_off_policy,expression,traversal,nmse_test,success
0.9873843025742869,2,0,"0.5002 * diff2(mul(mul(u1,div(u1,u1)),u1),x1)","diff2,mul,mul,u1,div,u1,u1,u1,x1",8.315342220176316e-06,True
0.9873843025742869,3,0,"0.5002 * diff2(mul(div(n2(u1),u1),u1),x1)","diff2,mul,div,n2,u1,u1,u1,x1",8.315342220176316e-06,True
0.9873843025742869,1,0,"0.5002 * diff2(mul(div(u1,u1),mul(u1,u1)),x1)","diff2,mul,div,u1,u1,mul,u1,u1,x1",8.315342220176316e-06,True
0.9873843025742869,1,0,"0.5002 * diff2(mul(div(u1,u1),n2(u1)),x1)","diff2,mul,div,u1,u1,n2,u1,x1",8.315342220176316e-06,True
0.9873843025742869,1,0,"0.5002 * diff2(n2(div(u1,div(u1,u1))),x1)","diff2,n2,div,u1,div,u1,u1,x1",8.315342220176316e-06,True
0.9873843025742869,1,0,"0.5002 * diff2(n2(div(u1,n2(div(u1,u1)))),x1)","diff2,n2,div,u1,n2,div,u1,u1,x1",8.315342220176316e-06,True
0.9873843025742869,1,0,"0.5002 * diff2(mul(n2(u1),div(x1,x1)),x1)","diff2,mul,n2,u1,div,x1,x1,x1",8.315342220176316e-06,True
0.9873843025742869,1,0,"0.5002 * diff2(mul(n3(n2(div(n2(u1),n2(u1)))),n2(u1)),x1)","diff2,mul,n3,n2,div,n2,u1,n2,u1,n2,u1,x1",8.315342220176316e-06,True
0.9873843025742869,176,0,"0.5002 * diff2(mul(u1,u1),x1)","diff2,mul,u1,u1,x1",8.315342220176316e-06,True
0.9873843025742869,1,0,"0.5002 * diff2(n2(mul(n2(div(u1,u1)),u1)),x1)","diff2,n2,mul,n2,div,u1,u1,u1,x1",8.315342220176316e-06,True
0.9873843025742869,2,0,"0.5002 * diff2(mul(div(mul(u1,u1),u1),u1),x1)","diff2,mul,div,mul,u1,u1,u1,u1,x1",8.315342220176316e-06,True
0.9873843025742869,1,0,"0.5002 * diff2(n2(mul(u1,div(u1,u1))),x1)","diff2,n2,mul,u1,div,u1,u1,x1",8.315342220176316e-06,True
0.9873843025742869,1,0,"0.5002 * div(div(mul(n2(u1),diff2(mul(u1,u1),x1)),u1),u1)","div,div,mul,n2,u1,diff2,mul,u1,u1,x1,u1,u1",8.315342220176294e-06,True
0.9873843025742869,1,0,"0.5002 * mul(u1,div(diff2(n2(u1),x1),u1))","mul,u1,div,diff2,n2,u1,x1,u1",8.315342220176307e-06,True
0.9873843025742869,1,0,"0.5002 * diff2(div(mul(x1,n2(u1)),x1),x1)","diff2,div,mul,x1,n2,u1,x1,x1",8.315342220175848e-06,True
0.9873843025742869,1,0,"0.5002 * mul(div(diff2(mul(u1,u1),x1),u1),u1)","mul,div,diff2,mul,u1,u1,x1,u1,u1",8.315342220176307e-06,True
0.9873843025742869,1,0,"0.5002 * diff2(div(mul(u1,u1),n2(div(u1,u1))),x1)","diff2,div,mul,u1,u1,n2,div,u1,u1,x1",8.315342220176316e-06,True
0.9873843025742869,1,0,"0.5002 * div(mul(diff2(u1,x1),diff2(n2(u1),x1)),diff2(u1,x1))","div,mul,diff2,u1,x1,diff2,n2,u1,x1,diff2,u1,x1",8.315342220176324e-06,True
