r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time
5.430942177772521973e-01,5.430942177772521973e-01,4.995154440402984619e-01,5.081338286399841309e-01,4.485714435577392578e+00,4.916666507720947266e+00,0.000000000000000000e+00,4.350000000000000000e+02,1.000000000000000000e+01,4.350000000000000000e+02,1.000000000000000000e+01,1.026861071586608887e+00,8.641339540481567383e-01,9.300000071525573730e-01,0.000000000000000000e+00,4.951898753643035889e-01,3.633943319320678711e+00
5.538034439086914062e-01,5.538034439086914062e-01,5.034756064414978027e-01,5.223370194435119629e-01,4.575757503509521484e+00,6.199999809265136719e+00,0.000000000000000000e+00,4.370000000000000000e+02,1.000000000000000000e+01,4.060000000000000000e+02,1.000000000000000000e+01,1.029523849487304688e+00,8.734956979751586914e-01,9.340000152587890625e-01,0.000000000000000000e+00,5.036957859992980957e-01,4.211142063140869141e+00
5.542241334915161133e-01,5.542241334915161133e-01,5.057907700538635254e-01,5.385189056396484375e-01,4.714285850524902344e+00,6.000000000000000000e+00,0.000000000000000000e+00,4.410000000000000000e+02,8.000000000000000000e+00,4.040000000000000000e+02,7.000000000000000000e+00,1.026203870773315430e+00,8.507548570632934570e-01,9.160000085830688477e-01,0.000000000000000000e+00,5.243692994117736816e-01,5.002780437469482422e+00
5.542241334915161133e-01,5.453775525093078613e-01,5.043311715126037598e-01,5.325416326522827148e-01,5.022727489471435547e+00,4.800000190734863281e+00,0.000000000000000000e+00,4.360000000000000000e+02,5.000000000000000000e+00,3.830000000000000000e+02,3.000000000000000000e+00,1.023723840713500977e+00,8.228985071182250977e-01,9.120000004768371582e-01,0.000000000000000000e+00,5.225864648818969727e-01,5.531785964965820312e+00
5.542241334915161133e-01,5.469108223915100098e-01,5.039272308349609375e-01,5.326917767524719238e-01,5.102040767669677734e+00,6.300000190734863281e+00,0.000000000000000000e+00,4.230000000000000000e+02,8.000000000000000000e+00,3.670000000000000000e+02,5.000000000000000000e+00,1.016284108161926270e+00,8.368883132934570312e-01,9.020000100135803223e-01,0.000000000000000000e+00,5.132173299789428711e-01,6.066865921020507812e+00
5.542241334915161133e-01,5.430942177772521973e-01,5.058139562606811523e-01,5.303153991699218750e-01,4.883720874786376953e+00,4.900000095367431641e+00,0.000000000000000000e+00,4.330000000000000000e+02,8.000000000000000000e+00,3.780000000000000000e+02,4.000000000000000000e+00,1.007581114768981934e+00,8.101652264595031738e-01,9.139999747276306152e-01,0.000000000000000000e+00,5.185291171073913574e-01,6.652168750762939453e+00
5.542241334915161133e-01,5.430942177772521973e-01,5.034584403038024902e-01,5.313185453414916992e-01,4.769230842590332031e+00,4.900000095367431641e+00,0.000000000000000000e+00,4.300000000000000000e+02,7.000000000000000000e+00,3.740000000000000000e+02,2.000000000000000000e+00,9.885512590408325195e-01,7.703551054000854492e-01,8.960000276565551758e-01,0.000000000000000000e+00,5.165096521377563477e-01,7.372088432312011719e+00
